master_protein	protein_length	protein_description	Intensity.U2OS_1	Intensity.U2OS_2	Intensity.U2OS_3	max
Q5H9R7	873	sp|Q5H9R7|PP6R3_HUMAN	6.735695	7.0581605	7.318189	7.318189
Q5H9U9	1706	sp|Q5H9U9|DDX6L_HUMAN	5.744841	6.61272	6.615219	6.615219
Q5HYI7	312	sp|Q5HYI7|MTX3_HUMAN	6.558048	7.056562	7.123296	7.123296
Q5HYI8	236	sp|Q5HYI8|RABL3_HUMAN	6.292544	NA	7.0658915	7.0658915
Q5HYK3	327	sp|Q5HYK3|COQ5_HUMAN	6.232869	6.334514	6.9960305	6.9960305
Q5HYK7	790	sp|Q5HYK7|SH319_HUMAN	6.176147	6.431573	6.50768	6.50768
Q5J8M3	183	sp|Q5J8M3|EMC4_HUMAN	7.215003	7.3986995	7.3199245	7.3986995
Q5JPH6	523	sp|Q5JPH6|SYEM_HUMAN	NA	5.828331	6.71587	6.71587
Q5JPI3	329	sp|Q5JPI3|CC038_HUMAN	6.4268975	6.2623485	7.023458	7.023458
Q5JPI9	291	sp|Q5JPI9|MET10_HUMAN	NA	NA	6.527037	6.527037
Q5JQF8	200	sp|Q5JQF8|PAP1M_HUMAN	5.860021	NA	NA	5.860021
Q5JRA6	1907	sp|Q5JRA6|MIA3_HUMAN	6.331366	6.259853	6.838339	6.838339
Q5JRX3	1037	sp|Q5JRX3|PREP_HUMAN	6.5040435	6.4457835	6.644645	6.644645
Q5JS37	347	sp|Q5JS37|NHLC3_HUMAN	NA	5.963691	7.004235	7.004235
Q5JS54	123	sp|Q5JS54|PSMG4_HUMAN	6.341216	6.822613	7.039057	7.039057
Q5JSH3	913	sp|Q5JSH3|WDR44_HUMAN	6.2186845	6.5180325	6.725372	6.725372
Q5JSZ5	2229	sp|Q5JSZ5|PRC2B_HUMAN	6.1017215	6.6355005	6.8260935	6.8260935
Q5JTD0	557	sp|Q5JTD0|TJAP1_HUMAN	6.477643	6.736904	7.131272	7.131272
Q5JTH9	1297	sp|Q5JTH9|RRP12_HUMAN	7.1674785	6.912525	7.561984	7.561984
Q5JTJ3	125	sp|Q5JTJ3|COA6_HUMAN	7.102089	NA	NA	7.102089
Q5JTV8	583	sp|Q5JTV8|TOIP1_HUMAN	7.074707	7.499495	7.245833	7.499495
Q5JTW2	689	sp|Q5JTW2|CEP78_HUMAN	NA	6.3410335	6.795658	6.795658
Q5JTZ9	985	sp|Q5JTZ9|SYAM_HUMAN	6.761582	6.387769	6.803423	6.803423
Q5JU85	1478	sp|Q5JU85|IQEC2_HUMAN	5.377798	7.617556	6.630598	7.617556
Q5JUX0	258	sp|Q5JUX0|SPIN3_HUMAN	NA	6.015737	NA	6.015737
Q5JVF3	399	sp|Q5JVF3|PCID2_HUMAN	6.548414	6.7405865	7.097743	7.097743
Q5JVS0	413	sp|Q5JVS0|HABP4_HUMAN	NA	NA	6.616465	6.616465
Q5K651	1589	sp|Q5K651|SAMD9_HUMAN	6.19981	6.150823	6.643808	6.643808
Q5M775	1068	sp|Q5M775|CYTSB_HUMAN	6.122314	6.531115	7.072103	7.072103
Q5M7Z0	435	sp|Q5M7Z0|RNFT1_HUMAN	NA	6.433049	NA	6.433049
Q5MIZ7	849	sp|Q5MIZ7|P4R3B_HUMAN	6.1906565	6.369786	7.175918	7.175918
Q5MNZ6	344	sp|Q5MNZ6|WIPI3_HUMAN	6.9140365	6.67267	7.218842	7.218842
Q5MNZ9	446	sp|Q5MNZ9|WIPI1_HUMAN	6.680263	NA	NA	6.680263
Q5NDL2	527	sp|Q5NDL2|EOGT_HUMAN	6.17672	6.82875	6.718118	6.82875
Q5PRF9	694	sp|Q5PRF9|SMAG2_HUMAN	6.3909945	6.2464785	6.7536595	6.7536595
Q5PSV4	323	sp|Q5PSV4|BRM1L_HUMAN	6.079434	5.994636	6.407289	6.407289
Q5QJ74	424	sp|Q5QJ74|TBCEL_HUMAN	6.216142	6.261762	6.6476765	6.6476765
Q5QJE6	756	sp|Q5QJE6|TDIF2_HUMAN	7.0048815	7.013521	7.11601	7.11601
Q5R372	815	sp|Q5R372|RBG1L_HUMAN	6.036948	6.082283	6.164382	6.164382
Q5R3F8	820	sp|Q5R3F8|PPR29_HUMAN	6.4747915	NA	6.63732	6.63732
Q5R3I4	469	sp|Q5R3I4|TTC38_HUMAN	6.65317	6.703317	6.807927	6.807927
Q5RI15	118	sp|Q5RI15|COX20_HUMAN	7.642147	7.858128	8.2136865	8.2136865
Q5RKV6	272	sp|Q5RKV6|EXOS6_HUMAN	6.931794	7.130655	7.450403	7.450403
Q5SNT2	666	sp|Q5SNT2|TM201_HUMAN	5.981247	6.970579	6.766621	6.970579
Q5SQN1	464	sp|Q5SQN1|SNP47_HUMAN	NA	NA	6.3295145	6.3295145
Q5SRE5	1749	sp|Q5SRE5|NU188_HUMAN	6.603621	6.813955	7.2921015	7.2921015
Q5SRH9	613	sp|Q5SRH9|TT39A_HUMAN	NA	7.031651	6.340523	7.031651
Q5SSJ5	553	sp|Q5SSJ5|HP1B3_HUMAN	7.393856	7.3350655	7.6474875	7.6474875
Q5ST30	1063	sp|Q5ST30|SYVM_HUMAN	6.298395	6.411182	6.898985	6.898985
Q5SVZ6	1142	sp|Q5SVZ6|ZMYM1_HUMAN	5.910187	6.332681	6.6678515	6.6678515
Q5SW79	1584	sp|Q5SW79|CE170_HUMAN	6.668749	6.5402455	6.4517165	6.668749
Q5SW96	308	sp|Q5SW96|ARH_HUMAN	6.003805	6.513325	6.656539	6.656539
Q5SWX8	454	sp|Q5SWX8|ODR4_HUMAN	6.335919	7.009621	7.318189	7.318189
Q5SY16	702	sp|Q5SY16|NOL9_HUMAN	6.5344335	6.030912	7.058426	7.058426
Q5SYE7	1610	sp|Q5SYE7|NHSL1_HUMAN	5.966808	NA	NA	5.966808
Q5T011	3432	sp|Q5T011|SZT2_HUMAN	NA	NA	6.060409	6.060409
Q5T0D9	272	sp|Q5T0D9|TPRGL_HUMAN	5.75634	5.757275	6.751852	6.751852
Q5T0F9	858	sp|Q5T0F9|C2D1B_HUMAN	6.511723	6.5173375	7.145631	7.145631
Q5T0N5	605	sp|Q5T0N5|FBP1L_HUMAN	6.7019855	6.8649325	6.940392	6.940392
Q5T160	578	sp|Q5T160|SYRM_HUMAN	5.846281	6.300242	6.433674	6.433674
Q5T1C6	240	sp|Q5T1C6|THEM4_HUMAN	5.904808	6.47689	6.011993	6.47689
Q5T1M5	1219	sp|Q5T1M5|FKB15_HUMAN	6.093499	6.44226	6.4651145	6.4651145
Q5T1V6	619	sp|Q5T1V6|DDX59_HUMAN	NA	5.652517	6.267055	6.267055
Q5T200	1668	sp|Q5T200|ZC3HD_HUMAN	6.7432025	6.6108055	5.763111	6.7432025
Q5T280	376	sp|Q5T280|CI114_HUMAN	6.6299185	6.615866	6.207688	6.6299185
Q5T2E6	689	sp|Q5T2E6|CJ076_HUMAN	6.966705	7.038501	7.410001	7.410001
Q5T2R2	415	sp|Q5T2R2|DPS1_HUMAN	NA	5.710075	NA	5.710075
Q5T2S8	1044	sp|Q5T2S8|ARMC4_HUMAN	NA	NA	5.461618	5.461618
Q5T2T1	576	sp|Q5T2T1|MPP7_HUMAN	6.280374	6.970864	6.64361	6.970864
Q5T3F8	832	sp|Q5T3F8|CSCL2_HUMAN	6.561197	6.6061805	6.947622	6.947622
Q5T3I0	446	sp|Q5T3I0|GPTC4_HUMAN	6.416145	5.850334	6.617051	6.617051
Q5T3J3	769	sp|Q5T3J3|LRIF1_HUMAN	NA	NA	6.721728	6.721728
Q5T440	356	sp|Q5T440|CAF17_HUMAN	6.986794	7.046963	7.365279	7.365279
Q5T447	861	sp|Q5T447|HECD3_HUMAN	6.300661	6.447685	6.760611	6.760611
Q5T4B2	595	sp|Q5T4B2|GT253_HUMAN	NA	NA	6.5595975	6.5595975
Q5T4F4	411	sp|Q5T4F4|ZFY27_HUMAN	NA	5.741656	5.967192	5.967192
Q5T4S7	5183	sp|Q5T4S7|UBR4_HUMAN	6.888972	6.809849	7.347603	7.347603
Q5T5C0	1151	sp|Q5T5C0|STXB5_HUMAN	5.948286	6.59898	6.8282095	6.8282095
Q5T5P2	1943	sp|Q5T5P2|SKT_HUMAN	6.095378	6.4137055	6.8337595	6.8337595
Q5T5U3	1957	sp|Q5T5U3|RHG21_HUMAN	5.919146	5.9520015	6.844459	6.844459
Q5T5Y3	1602	sp|Q5T5Y3|CAMP1_HUMAN	5.555493	6.484812	6.519539	6.519539
Q5T653	305	sp|Q5T653|RM02_HUMAN	6.9089215	7.1994	7.36702	7.36702
Q5T6F0	453	sp|Q5T6F0|DCA12_HUMAN	NA	5.858928	6.623394	6.623394
Q5T6F2	1119	sp|Q5T6F2|UBAP2_HUMAN	7.003159	6.879113	7.2109935	7.2109935
Q5T6V5	341	sp|Q5T6V5|CI064_HUMAN	6.873901	6.882974	7.189238	7.189238
Q5T7M9	428	sp|Q5T7M9|FA69A_HUMAN	5.66186	NA	6.782587	6.782587
Q5T7V8	394	sp|Q5T7V8|GORAB_HUMAN	NA	NA	6.923865	6.923865
Q5T7W7	516	sp|Q5T7W7|TSTD2_HUMAN	5.777513	6.2696305	6.601875	6.601875
Q5T8D3	534	sp|Q5T8D3|ACBD5_HUMAN	5.91579	6.851396	6.92283	6.92283
Q5T8I9	393	sp|Q5T8I9|HENMT_HUMAN	6.188141	NA	6.827318	6.827318
Q5T8P6	1007	sp|Q5T8P6|RBM26_HUMAN	6.907621	6.5140725	7.0030695	7.0030695
Q5T9A4	648	sp|Q5T9A4|ATD3B_HUMAN	6.587532	NA	6.8059945	6.8059945
Q5T9C2	384	sp|Q5T9C2|F102A_HUMAN	NA	NA	5.798423	5.798423
Q5T9L3	541	sp|Q5T9L3|WLS_HUMAN	6.375737	6.670051	6.794509	6.794509
Q5T9S5	1454	sp|Q5T9S5|CCD18_HUMAN	7.215082	6.9975115	NA	7.215082
Q5TA45	600	sp|Q5TA45|INT11_HUMAN	NA	6.486374	6.845445	6.845445
Q5TA50	214	sp|Q5TA50|CPTP_HUMAN	5.967576	NA	6.559571	6.559571
Q5TAQ9	597	sp|Q5TAQ9|DCAF8_HUMAN	7.457503	6.660884	6.256092	7.457503
Q5TAX3	1644	sp|Q5TAX3|TUT4_HUMAN	6.233607	5.7651445	6.542078	6.542078
Q5TB30	811	sp|Q5TB30|DEP1A_HUMAN	NA	NA	6.271191	6.271191
Q5TB80	1403	sp|Q5TB80|CE162_HUMAN	NA	NA	6.043873	6.043873
Q5TBA9	3013	sp|Q5TBA9|FRY_HUMAN	NA	NA	7.182129	7.182129
Q5TBB1	312	sp|Q5TBB1|RNH2B_HUMAN	6.375664	6.45986	6.986194	6.986194
Q5TC12	328	sp|Q5TC12|ATPF1_HUMAN	6.992173	6.776251	7.229707	7.229707
Q5TC63	336	sp|Q5TC63|GRTP1_HUMAN	NA	NA	7.009111	7.009111
Q5TC82	1133	sp|Q5TC82|RC3H1_HUMAN	6.058122	6.627653	6.7028185	6.7028185
Q5TC84	451	sp|Q5TC84|OGRL1_HUMAN	NA	NA	6.796582	6.796582
Q5TCQ9	1506	sp|Q5TCQ9|MAGI3_HUMAN	5.682109	6.4657365	6.39613	6.4657365
Q5TCZ1	1133	sp|Q5TCZ1|SPD2A_HUMAN	NA	5.988394	NA	5.988394
Q5TDH0	399	sp|Q5TDH0|DDI2_HUMAN	6.7975455	6.817816	7.212401	7.212401
Q5TFE4	455	sp|Q5TFE4|NT5D1_HUMAN	6.752701	6.826127	7.391323	7.391323
Q5TGY1	634	sp|Q5TGY1|TMCO4_HUMAN	NA	NA	5.829136	5.829136
Q5TGY3	1603	sp|Q5TGY3|AHDC1_HUMAN	NA	6.258014	6.183355	6.258014
Q5TGZ0	78	sp|Q5TGZ0|MIC10_HUMAN	7.111766	NA	NA	7.111766
Q5TH69	2177	sp|Q5TH69|BIG3_HUMAN	6.205096	6.371031	6.670691	6.670691
Q5THJ4	4388	sp|Q5THJ4|VP13D_HUMAN	NA	NA	6.162025	6.162025
Q5THK1	2151	sp|Q5THK1|PR14L_HUMAN	7.202979	6.080626	6.921869	7.202979
Q5TKA1	542	sp|Q5TKA1|LIN9_HUMAN	6.124224	6.296737	6.7313275	6.7313275
Q5TZA2	2017	sp|Q5TZA2|CROCC_HUMAN	NA	NA	6.992394	6.992394
Q5U4P2	390	sp|Q5U4P2|ASPH1_HUMAN	NA	NA	5.501634	5.501634
Q5U5Q3	659	sp|Q5U5Q3|MEX3C_HUMAN	NA	5.646433	NA	5.646433
Q5U5X0	104	sp|Q5U5X0|LYRM7_HUMAN	6.801843	6.561876	7.654215	7.654215
Q5UCC4	262	sp|Q5UCC4|EMC10_HUMAN	6.201397	7.2548065	7.486572	7.486572
Q5UIP0	2472	sp|Q5UIP0|RIF1_HUMAN	6.419526	6.401676	6.981189	6.981189
Q5VIR6	699	sp|Q5VIR6|VPS53_HUMAN	6.598517	6.594116	6.908024	6.908024
Q5VSG8	457	sp|Q5VSG8|MANEL_HUMAN	NA	8.292146	8.770411	8.770411
Q5VSL9	837	sp|Q5VSL9|STRP1_HUMAN	6.4798805	6.056715	7.0240435	7.0240435
Q5VST6	288	sp|Q5VST6|AB17B_HUMAN	NA	NA	6.46726	6.46726
Q5VST9	7968	sp|Q5VST9|OBSCN_HUMAN	5.990086	NA	NA	5.990086
Q5VSY0	366	sp|Q5VSY0|GKAP1_HUMAN	6.074194	NA	5.914051	6.074194
Q5VT06	3117	sp|Q5VT06|CE350_HUMAN	NA	6.182842	6.106802	6.182842
Q5VT25	1732	sp|Q5VT25|MRCKA_HUMAN	5.516945	6.45989	7.00518	7.00518
Q5VT52	1461	sp|Q5VT52|RPRD2_HUMAN	6.650019	6.5909075	7.1310025	7.1310025
Q5VT66	337	sp|Q5VT66|MARC1_HUMAN	NA	6.393979	6.933057	6.933057
Q5VT79	327	sp|Q5VT79|AXA81_HUMAN	6.926234	NA	7.053808	7.053808
Q5VTB9	566	sp|Q5VTB9|RN220_HUMAN	6.6165495	7.017576	6.817676	7.017576
Q5VTE6	544	sp|Q5VTE6|ANGE2_HUMAN	NA	NA	6.43594	6.43594
Q5VTL8	546	sp|Q5VTL8|PR38B_HUMAN	6.408189	6.9300565	7.558312	7.558312
Q5VTR2	975	sp|Q5VTR2|BRE1A_HUMAN	6.53903	6.815288	7.265101	7.265101
Q5VU92	463	sp|Q5VU92|DC121_HUMAN	NA	6.280305	6.050728	6.280305
Q5VUA4	2279	sp|Q5VUA4|ZN318_HUMAN	6.005438	6.3964655	6.6575515	6.6575515
Q5VUB5	890	sp|Q5VUB5|F1711_HUMAN	6.282355	5.959528	5.7469755	6.282355
Q5VUG0	894	sp|Q5VUG0|SMBT2_HUMAN	4.726556	NA	NA	4.726556
Q5VUJ6	765	sp|Q5VUJ6|LRCH2_HUMAN	5.908882	5.740094	6.574321	6.574321
Q5VUM1	108	sp|Q5VUM1|SDHF4_HUMAN	5.644921	NA	6.400987	6.400987
Q5VV41	709	sp|Q5VV41|ARHGG_HUMAN	NA	6.296819	6.856136	6.856136
Q5VV42	579	sp|Q5VV42|CDKAL_HUMAN	6.1585265	6.6926	6.7379445	6.7379445
Q5VV67	1664	sp|Q5VV67|PPRC1_HUMAN	NA	6.90191	NA	6.90191
Q5VVJ2	828	sp|Q5VVJ2|MYSM1_HUMAN	6.730484	NA	7.258039	7.258039
Q5VVQ6	348	sp|Q5VVQ6|OTU1_HUMAN	6.082786	NA	6.474012	6.474012
Q5VW32	411	sp|Q5VW32|BROX_HUMAN	6.452532	7.1669775	7.151094	7.1669775
Q5VW36	1801	sp|Q5VW36|FOCAD_HUMAN	6.1062925	5.97008	7.100979	7.100979
Q5VW38	600	sp|Q5VW38|GP107_HUMAN	6.205583	NA	NA	6.205583
Q5VWG9	929	sp|Q5VWG9|TAF3_HUMAN	5.916359	5.926389	6.5120945	6.5120945
Q5VWJ9	437	sp|Q5VWJ9|SNX30_HUMAN	5.8940215	5.9115495	6.372396	6.372396
Q5VWN6	2430	sp|Q5VWN6|F208B_HUMAN	6.182728	6.312061	6.5858685	6.5858685
Q5VWQ0	802	sp|Q5VWQ0|RSBN1_HUMAN	6.290369	NA	6.648818	6.648818
Q5VWQ8	1189	sp|Q5VWQ8|DAB2P_HUMAN	5.98859	NA	6.213066	6.213066
Q5VWZ2	237	sp|Q5VWZ2|LYPL1_HUMAN	NA	6.4989135	6.74234	6.74234
Q5VXT5	272	sp|Q5VXT5|SYPL2_HUMAN	6.073498	6.381223	5.29776	6.381223
Q5VYK3	1845	sp|Q5VYK3|ECM29_HUMAN	6.816592	6.904001	7.144637	7.144637
Q5VYS8	1495	sp|Q5VYS8|TUT7_HUMAN	6.3814935	6.51825	6.925224	6.925224
Q5VZ89	1673	sp|Q5VZ89|DEN4C_HUMAN	NA	4.981411	6.5563585	6.5563585
Q5VZE5	725	sp|Q5VZE5|NAA35_HUMAN	6.5281175	6.191174	7.40444	7.40444
Q5VZK9	1371	sp|Q5VZK9|CARL1_HUMAN	7.073608	5.8866695	6.67454	7.073608
Q5VZL5	1548	sp|Q5VZL5|ZMYM4_HUMAN	6.20665	6.532245	6.906782	6.906782
Q5W0B1	726	sp|Q5W0B1|RN219_HUMAN	5.597388	NA	6.75337	6.75337
Q5W0V3	765	sp|Q5W0V3|F16B1_HUMAN	6.2113975	6.869496	6.6441425	6.869496
Q5W0Z9	365	sp|Q5W0Z9|ZDH20_HUMAN	6.192177	NA	NA	6.192177
Q5W111	196	sp|Q5W111|SPRY7_HUMAN	6.03619	6.363386	6.94669	6.94669
Q5XKP0	118	sp|Q5XKP0|MIC13_HUMAN	6.906328	7.414868	7.549653	7.549653
Q5XPI4	1314	sp|Q5XPI4|RN123_HUMAN	6.1314905	6.754107	7.0086	7.0086
Q5XUX1	488	sp|Q5XUX1|FBXW9_HUMAN	6.179781	NA	NA	6.179781
Q5ZPR3	534	sp|Q5ZPR3|CD276_HUMAN	7.179839	6.5752555	7.1570905	7.179839
Q63HK5	1081	sp|Q63HK5|TSH3_HUMAN	NA	6.308586	6.681241	6.681241
Q63HN8	5207	sp|Q63HN8|RN213_HUMAN	6.32705	6.607358	6.825746	6.825746
Q63HQ0	302	sp|Q63HQ0|AP1AR_HUMAN	5.73771	NA	6.76886	6.76886
Q63HR2	1409	sp|Q63HR2|TNS2_HUMAN	6.463475	6.148417	6.29685	6.463475
Q63ZY3	851	sp|Q63ZY3|KANK2_HUMAN	6.462204	5.819379	6.773699	6.773699
Q641Q2	1341	sp|Q641Q2|FA21A_HUMAN	NA	NA	6.9111245	6.9111245
Q643R3	524	sp|Q643R3|LPCT4_HUMAN	6.081671	6.533047	6.322696	6.533047
Q658P3	488	sp|Q658P3|STEA3_HUMAN	6.409003	6.9068695	7.349437	7.349437
Q658Y4	838	sp|Q658Y4|F91A1_HUMAN	6.725356	7.182272	7.5342355	7.5342355
Q659A1	982	sp|Q659A1|ICE2_HUMAN	NA	NA	6.491908	6.491908
Q659C4	914	sp|Q659C4|LAR1B_HUMAN	5.709329	NA	6.3963055	6.3963055
Q66GS9	1140	sp|Q66GS9|CP135_HUMAN	5.65021	6.222534	6.711984	6.711984
Q66K14	1250	sp|Q66K14|TBC9B_HUMAN	6.32466	6.2537455	6.934055	6.934055
Q66K64	600	sp|Q66K64|DCA15_HUMAN	NA	NA	6.194875	6.194875
Q66K74	1059	sp|Q66K74|MAP1S_HUMAN	6.5620565	6.5093135	7.25632	7.25632
Q66LE6	453	sp|Q66LE6|2ABD_HUMAN	5.695184	6.809815	6.977504	6.977504
Q66PJ3	421	sp|Q66PJ3|AR6P4_HUMAN	6.152564	6.305158	6.9414065	6.9414065
Q674X7	775	sp|Q674X7|KAZRN_HUMAN	6.379487	NA	7.390776	7.390776
Q676U5	607	sp|Q676U5|A16L1_HUMAN	6.718078	6.866744	6.44801	6.866744
Q67FW5	361	sp|Q67FW5|B3GNL_HUMAN	5.749319	NA	NA	5.749319
Q684P5	730	sp|Q684P5|RPGP2_HUMAN	5.7268	NA	NA	5.7268
Q68CP9	1835	sp|Q68CP9|ARID2_HUMAN	6.381289	6.714581	6.8127015	6.8127015
Q68CQ4	756	sp|Q68CQ4|DIEXF_HUMAN	6.769695	6.736779	7.0855105	7.0855105
Q68CR1	1132	sp|Q68CR1|SE1L3_HUMAN	NA	6.287802	6.777782	6.777782
Q68CZ1	1315	sp|Q68CZ1|FTM_HUMAN	5.840796	NA	6.5429	6.5429
Q68CZ2	1445	sp|Q68CZ2|TENS3_HUMAN	6.800043	6.7781655	7.2086745	7.2086745
Q68CZ6	603	sp|Q68CZ6|HAUS3_HUMAN	5.603092	6.367561	6.891649	6.891649
Q68D10	685	sp|Q68D10|SPT2_HUMAN	5.879004	6.55996	6.888179	6.888179
Q68D91	279	sp|Q68D91|MBLC2_HUMAN	6.608953	NA	7.224959	7.224959
Q68DA7	1419	sp|Q68DA7|FMN1_HUMAN	6.237795	NA	NA	6.237795
Q68DK2	2539	sp|Q68DK2|ZFY26_HUMAN	NA	NA	6.0734435	6.0734435
Q68DK7	614	sp|Q68DK7|MSL1_HUMAN	NA	NA	7.110522	7.110522
Q68DQ2	2970	sp|Q68DQ2|CRBG3_HUMAN	6.181609	6.2626315	6.7233	6.7233
Q68E01	1043	sp|Q68E01|INT3_HUMAN	6.721877	6.5890565	7.021272	7.021272
Q68EM7	881	sp|Q68EM7|RHG17_HUMAN	6.555916	6.4345095	7.028571	7.028571
Q69YH5	1023	sp|Q69YH5|CDCA2_HUMAN	6.11304	6.1782	6.596395	6.596395
Q69YL0	99	sp|Q69YL0|NCAS2_HUMAN	7.079398	6.959671	NA	7.079398
Q69YN2	538	sp|Q69YN2|C19L1_HUMAN	6.879782	6.63732	7.408427	7.408427
Q69YN4	1812	sp|Q69YN4|VIR_HUMAN	6.5107405	6.355222	6.742844	6.742844
Q69YQ0	1117	sp|Q69YQ0|CYTSA_HUMAN	6.670199	6.938074	7.191115	7.191115
Q6AI08	1181	sp|Q6AI08|HEAT6_HUMAN	6.225519	6.27147	6.812767	6.812767
Q6AWC2	1192	sp|Q6AWC2|WWC2_HUMAN	5.7251725	6.089199	6.901039	6.901039
Q6AZZ1	485	sp|Q6AZZ1|TRI68_HUMAN	5.692664	6.124602	6.441538	6.441538
Q6BDS2	1440	sp|Q6BDS2|URFB1_HUMAN	6.491306	6.256902	6.802548	6.802548
Q6DCA0	310	sp|Q6DCA0|AMERL_HUMAN	NA	NA	6.948555	6.948555
Q6DD88	541	sp|Q6DD88|ATLA3_HUMAN	7.151076	7.337918	7.446366	7.446366
Q6DHV7	355	sp|Q6DHV7|ADAL_HUMAN	5.446801	NA	6.674742	6.674742
Q6DKI1	246	sp|Q6DKI1|RL7L_HUMAN	6.9538055	7.554512	7.832094	7.832094
Q6DKJ4	435	sp|Q6DKJ4|NXN_HUMAN	6.717837	6.254645	7.184918	7.184918
Q6DN90	963	sp|Q6DN90|IQEC1_HUMAN	NA	6.3549745	5.216324	6.3549745
Q6EEV4	148	sp|Q6EEV4|GL1AD_HUMAN	6.872096	6.977106	6.716012	6.977106
Q6EMK4	673	sp|Q6EMK4|VASN_HUMAN	NA	NA	5.434808	5.434808
Q6F5E8	1435	sp|Q6F5E8|CARL2_HUMAN	6.245418	NA	NA	6.245418
Q6FI81	312	sp|Q6FI81|CPIN1_HUMAN	7.256171	7.420117	7.600317	7.600317
Q6FIF0	208	sp|Q6FIF0|ZFAN6_HUMAN	6.993474	NA	7.108497	7.108497
Q6GMV2	418	sp|Q6GMV2|SMYD5_HUMAN	7.187436	7.056219	7.561316	7.561316
Q6GMV3	140	sp|Q6GMV3|PTRD1_HUMAN	7.1891	7.614233	7.657027	7.657027
Q6GQQ9	843	sp|Q6GQQ9|OTU7B_HUMAN	5.981918	6.090656	6.648647	6.648647
Q6GYQ0	2036	sp|Q6GYQ0|RGPA1_HUMAN	5.415741	7.496182	NA	7.496182
Q6I9Y2	204	sp|Q6I9Y2|THOC7_HUMAN	6.518925	6.394889	6.6685	6.6685
Q6IA69	706	sp|Q6IA69|NADE_HUMAN	6.283369	NA	6.451049	6.451049
Q6IA86	826	sp|Q6IA86|ELP2_HUMAN	6.7333025	6.5193205	7.122707	7.122707
Q6IAA8	161	sp|Q6IAA8|LTOR1_HUMAN	7.3958775	7.491397	7.7142115	7.7142115
Q6IAN0	325	sp|Q6IAN0|DRS7B_HUMAN	6.332943	6.98683	6.8349705	6.98683
Q6IBS0	349	sp|Q6IBS0|TWF2_HUMAN	7.299921	7.554477	7.6275435	7.6275435
Q6IBW4	605	sp|Q6IBW4|CNDH2_HUMAN	NA	6.153296	6.837165	6.837165
Q6ICB0	168	sp|Q6ICB0|DESI1_HUMAN	6.744155	6.9862505	7.241173	7.241173
Q6ICG6	404	sp|Q6ICG6|K0930_HUMAN	6.103016	6.846089	7.103769	7.103769
Q6ICH7	369	sp|Q6ICH7|ASPH2_HUMAN	5.748382	7.671487	6.5072455	7.671487
Q6ICL3	276	sp|Q6ICL3|TNG2_HUMAN	NA	NA	6.938975	6.938975
Q6IE81	842	sp|Q6IE81|JADE1_HUMAN	6.004837	6.398981	6.627063	6.627063
Q6IN84	353	sp|Q6IN84|MRM1_HUMAN	6.520418	7.246548	7.264606	7.264606
Q6IN85	833	sp|Q6IN85|P4R3A_HUMAN	6.339809	6.7632145	7.106667	7.106667
Q6IPR1	90	sp|Q6IPR1|ETFR1_HUMAN	NA	5.597926	NA	5.597926
Q6IPR3	259	sp|Q6IPR3|TYW3_HUMAN	6.234694	NA	6.267852	6.267852
Q6IQ22	244	sp|Q6IQ22|RAB12_HUMAN	6.464713	6.875756	7.235806	7.235806
Q6IQ23	1121	sp|Q6IQ23|PKHA7_HUMAN	NA	NA	6.2938715	6.2938715
Q6IQ32	1131	sp|Q6IQ32|ADNP2_HUMAN	NA	6.212257	6.671404	6.671404
Q6IQ49	451	sp|Q6IQ49|SDE2_HUMAN	6.603577	NA	NA	6.603577
Q6JQN1	1059	sp|Q6JQN1|ACD10_HUMAN	NA	NA	5.39224	5.39224
Q6KC79	2804	sp|Q6KC79|NIPBL_HUMAN	6.180699	6.235987	6.374785	6.374785
Q6KCM7	469	sp|Q6KCM7|SCMC2_HUMAN	NA	NA	6.261748	6.261748
Q6L8Q7	609	sp|Q6L8Q7|PDE12_HUMAN	7.151584	7.1578015	7.348566	7.348566
Q6MZP7	749	sp|Q6MZP7|LIN54_HUMAN	6.329212	NA	NA	6.329212
Q6N021	2002	sp|Q6N021|TET2_HUMAN	NA	NA	5.87385	5.87385
Q6N063	350	sp|Q6N063|OGFD2_HUMAN	NA	NA	6.795449	6.795449
Q6N069	864	sp|Q6N069|NAA16_HUMAN	NA	NA	6.6565865	6.6565865
Q6N075	450	sp|Q6N075|MFSD5_HUMAN	6.166163	6.1091495	6.440245	6.440245
Q6NS38	261	sp|Q6NS38|ALKB2_HUMAN	5.860021	NA	NA	5.860021
Q6NSJ0	714	sp|Q6NSJ0|K1161_HUMAN	6.411013	5.633135	6.243013	6.411013
Q6NSJ5	796	sp|Q6NSJ5|LRC8E_HUMAN	6.1865255	5.7428495	6.868239	6.868239
Q6NTF9	364	sp|Q6NTF9|RHBD2_HUMAN	NA	6.415073	7.046378	7.046378
Q6NUK1	477	sp|Q6NUK1|SCMC1_HUMAN	6.710532	7.241696	7.392881	7.392881
Q6NUK4	255	sp|Q6NUK4|REEP3_HUMAN	6.427518	6.4552265	7.236713	7.236713
Q6NUM9	610	sp|Q6NUM9|RETST_HUMAN	6.8483185	6.601376	7.104362	7.104362
Q6NUQ1	792	sp|Q6NUQ1|RINT1_HUMAN	6.369809	6.350364	6.62429	6.62429
Q6NUQ4	689	sp|Q6NUQ4|TM214_HUMAN	7.180183	7.103462	7.417704	7.417704
